CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.0203428141   1.9631345984   0.8951654082  -0.1986908394   0.1944214237
   3.0201674222   1.9543439294   0.8961010497  -0.1990482876   0.1924596327
   3.0199906439   1.9457456749   0.8970349827  -0.1994107700   0.1904840820
   3.0198118892   1.9373441636   0.8979669733  -0.1997787043   0.1884953569
   3.0196304530   1.9291440670   0.8988968251  -0.2001526440   0.1864939306
   3.0194456890   1.9211502043   0.8998242781  -0.2005330641   0.1844804369
   3.0192569391   1.9133671979   0.9007490919  -0.2009204571   0.1824554699
   3.0190634744   1.9058002693   0.9016710066  -0.2013153927   0.1804196392
   3.0188646161   1.8984546204   0.9025897154  -0.2017183749   0.1783736881
   3.0186596027   1.8913358071   0.9035049232  -0.2021300049   0.1763183058
   3.0184477421   1.8844493205   0.9044162742  -0.2025507937   0.1742543571
   3.0182283094   1.8778005500   0.9053234329  -0.2029812955   0.1721826610
   3.0180005284   1.8713954585   0.9062260226  -0.2034221163   0.1701041141
   3.0177636162   1.8652403282   0.9071236177  -0.2038738627   0.1680197289
   3.0175168455   1.8593410504   0.9080157641  -0.2043370743   0.1659306314
   3.0172594274   1.8537037409   0.9089020118  -0.2048123661   0.1638379199
   3.0169905706   1.8483349057   0.9097818401  -0.2053003458   0.1617428647
   3.0167094704   1.8432411604   0.9106546950  -0.2058016342   0.1596468230
   3.0164154013   1.8384286946   0.9115199753  -0.2063167596   0.1575513127
   3.0161075768   1.8339037238   0.9123770901  -0.2068463271   0.1554578243
   3.0157851960   1.8296730284   0.9132253579  -0.2073909487   0.1533680571
   3.0154475672   1.8257427233   0.9140640398  -0.2079511097   0.1512839137
   3.0150939846   1.8221184844   0.9148924236  -0.2085273272   0.1492072471
   3.0147237531   1.8188061717   0.9157097200  -0.2091201018   0.1471401053
   3.0143362280   1.8158112647   0.9165150884  -0.2097298780   0.1450847008
   3.0139308962   1.8131381755   0.9173076620  -0.2103569610   0.1430433762
   3.0135071516   1.8107913150   0.9180866145  -0.2110017835   0.1410183489
   3.0130646443   1.8087741050   0.9188509468  -0.2116644683   0.1390123704
   3.0126029320   1.8070890529   0.9195998452  -0.2123452985   0.1370277160
   3.0121218424   1.8057377626   0.9203322866  -0.2130442240   0.1350672895
   3.0116211719   1.8047202441   0.9210474811  -0.2137612973   0.1331334242
   3.0111266281   1.8040615560   0.9217110439  -0.2144602227   0.1313207383
   3.0105905109   1.8036938025   0.9223865301  -0.2152083433   0.1294560020
   3.0100556625   1.8036463638   0.9230190596  -0.2159457159   0.1276908035
   3.0094873961   1.8039074916   0.9236498318  -0.2167202522   0.1259107557
   3.0089118453   1.8044642517   0.9242490350  -0.2174962202   0.1242000323
   3.0083119164   1.8053237680   0.9248348355  -0.2182968172   0.1225073850
   3.0076987044   1.8064652643   0.9253961919  -0.2191072725   0.1208649815
   3.0070668257   1.8078904972   0.9259383072  -0.2199348467   0.1192581109
   3.0064197431   1.8095840436   0.9264584618  -0.2207751508   0.1176952985
   3.0057567933   1.8115393885   0.9269575621  -0.2216292229   0.1161743359
   3.0050791289   1.8137448017   0.9274351653  -0.2224957672   0.1146971132
   3.0043872583   1.8161900262   0.9278914290  -0.2233743428   0.1132637321
   3.0036819583   1.8188636023   0.9283264277  -0.2242641874   0.1118745933
   3.0029639580   1.8217539364   0.9287403735  -0.2251646185   0.1105297151
   3.0022340185   1.8248493137   0.9291335084  -0.2260749200   0.1092290316
   3.0014928782   1.8281383470   0.9295060900  -0.2269944008   0.1079724059
   3.0007412695   1.8316092784   0.9298585201  -0.2279224002   0.1067593238
   2.9999799300   1.8352507654   0.9301911622  -0.2288582384   0.1055893464
   2.9992095642   1.8390513739   0.9305045076  -0.2298012915   0.1044616909
   2.9984308624   1.8430004364   0.9307989706  -0.2307509308   0.1033757325
   2.9976444734   1.8470872003   0.9310750998  -0.2317065937   0.1023304896
   2.9968510369   1.8513014086   0.9313334118  -0.2326677142   0.1013250399
   2.9960511380   1.8556335679   0.9315743916  -0.2336337757   0.1003584999
   2.9952453276   1.8600743829   0.9317985869  -0.2346043059   0.0994298087
   2.9944341380   1.8646148848   0.9320065628  -0.2355788501   0.0985378425
   2.9936180696   1.8692465445   0.9321988872  -0.2365569840   0.0976814493
   2.9927975754   1.8739616933   0.9323760460  -0.2375383154   0.0968596496
   2.9919730682   1.8787530233   0.9325385537  -0.2385224977   0.0960713692
   2.9911449474   1.8836133089   0.9326869814  -0.2395092050   0.0953153851
   2.9903135760   1.8885361208   0.9328218001  -0.2404981283   0.0945906997
   2.9894792866   1.8935152653   0.9329435303  -0.2414889985   0.0938961730
   2.9886423830   1.8985451177   0.9330526242  -0.2424815618   0.0932308214
   2.9878031522   1.9036200822   0.9331496068  -0.2434755932   0.0925934703
   2.9869618427   1.9087354919   0.9332348497  -0.2444708793   0.0919833032
   2.9861186906   1.9138864928   0.9333088431  -0.2454672395   0.0913992075
   2.9852739042   1.9190689945   0.9333719503  -0.2464644982   0.0908403668
   2.9844276853   1.9242786504   0.9334246426  -0.2474625050   0.0903056970
   2.9835802041   1.9295119844   0.9334672481  -0.2484611158   0.0897944491
   2.9827316215   1.9347654205   0.9335001609  -0.2494602078   0.0893057099
   2.9818820812   1.9400357669   0.9335237252  -0.2504596660   0.0888386807
   2.9810317135   1.9453201625   0.9335382511  -0.2514593883   0.0883925852
   2.9801806364   1.9506155279   0.9335441243  -0.2524592828   0.0879666230
   2.9793289539   1.9559194995   0.9335416050  -0.2534592656   0.0875601268
   2.9784767635   1.9612296132   0.9335310046  -0.2544592624   0.0871723587
   2.9776241547   1.9665435442   0.9335126294  -0.2554592062   0.0868025912
   2.9767711945   1.9718594695   0.9334866881  -0.2564590374   0.0864503244
   2.9759179563   1.9771753607   0.9334534627  -0.2574587008   0.0861148842
   2.9750644989   1.9824894866   0.9334131854  -0.2584581487   0.0857957121
   2.9742108758   1.9878002289   0.9333660800  -0.2594573372   0.0854922671
   2.9733571416   1.9931058892   0.9333124082  -0.2604562272   0.0852039204
   2.9725033351   1.9984051140   0.9332523672  -0.2614547858   0.0849301914
   2.9716494922   2.0036966130   0.9331861479  -0.2624529817   0.0846706160
   2.9707956452   2.0089791958   0.9331139357  -0.2634507868   0.0844247403
   2.9699418261   2.0142516347   0.9330359352  -0.2644481761   0.0841920672
   2.9690880592   2.0195128726   0.9329523279  -0.2654451294   0.0839721505
   2.9682343566   2.0247620891   0.9328632294  -0.2664416282   0.0837647031
   2.9673807459   2.0299982278   0.9327688369  -0.2674376510   0.0835692448
   2.9665272413   2.0352204052   0.9326693177  -0.2684331861   0.0833853632
   2.9656738480   2.0404279789   0.9325647794  -0.2694282217   0.0832127866
   2.9648205821   2.0456201247   0.9324553829  -0.2704227426   0.0830511217
   2.9639674518   2.0507961246   0.9323412773  -0.2714167408   0.0828999996
   2.9631144564   2.0559554539   0.9322225593  -0.2724102094   0.0827591755
   2.9622616043   2.0610974904   0.9320993621  -0.2734031374   0.0826283204
   2.9614088971   2.0662216821   0.9319718059  -0.2743955196   0.0825071344
   2.9605563369   2.0713274889   0.9318400155  -0.2753873510   0.0823953087
   2.9597039181   2.0764145298   0.9317040762  -0.2763786286   0.0822926254
