CREATION_DATE        =      2018-05-21T13:44:47
ORIGINATOR           =      ASTOS SOLUTIONS GMBH

META_START
LAGRANGIAN           =      L1
ORBIT NUMBER         =      10000
ORBIT DISTANCE       =      0.000100
MASS RATIO           =      0.0121439878
META_STOP

DATA_START

        JC           Period           x              z            dy/dt
   2.9364110450   2.2072919866   0.9266812224  -0.3032815505   0.0822594024
   2.9363259296   2.2077389275   0.9266590501  -0.3033790666   0.0822671051
   2.9362408127   2.2081856381   0.9266368541  -0.3034765776   0.0822748540
   2.9361556946   2.2086321173   0.9266146345  -0.3035740831   0.0822826490
   2.9360705753   2.2090783654   0.9265923914  -0.3036715834   0.0822904901
   2.9359854546   2.2095243821   0.9265701247  -0.3037690782   0.0822983771
   2.9359003327   2.2099701677   0.9265478346  -0.3038665677   0.0823063099
   2.9358152094   2.2104157220   0.9265255210  -0.3039640518   0.0823142884
   2.9357300849   2.2108610451   0.9265031840  -0.3040615305   0.0823223127
   2.9356449590   2.2113061370   0.9264808237  -0.3041590039   0.0823303825
   2.9355598318   2.2117509978   0.9264584400  -0.3042564719   0.0823384977
   2.9354747032   2.2121956274   0.9264360330  -0.3043539346   0.0823466584
   2.9353895733   2.2126400258   0.9264136028  -0.3044513919   0.0823548644
   2.9353044420   2.2130841931   0.9263911493  -0.3045488438   0.0823631156
   2.9352193093   2.2135281293   0.9263686726  -0.3046462904   0.0823714119
   2.9351341752   2.2139718344   0.9263461727  -0.3047437317   0.0823797533
   2.9350490397   2.2144153085   0.9263236497  -0.3048411676   0.0823881396
   2.9349639028   2.2148585514   0.9263011036  -0.3049385982   0.0823965709
   2.9348787645   2.2153015634   0.9262785345  -0.3050360234   0.0824050469
   2.9347936247   2.2157443443   0.9262559423  -0.3051334433   0.0824135676
   2.9347084835   2.2161868942   0.9262333271  -0.3052308578   0.0824221329
   2.9346233408   2.2166292131   0.9262106890  -0.3053282670   0.0824307427
   2.9345381966   2.2170713011   0.9261880279  -0.3054256709   0.0824393970
   2.9344530502   2.2175131720   0.9261653388  -0.3055230694   0.0824481074
   2.9343679040   2.2179547929   0.9261426321  -0.3056204614   0.0824568503
   2.9342827553   2.2183961885   0.9261199024  -0.3057178494   0.0824656376
   2.9341976048   2.2188373588   0.9260971476  -0.3058152319   0.0824744740
   2.9341124535   2.2192782901   0.9260743724  -0.3059126086   0.0824833493
   2.9340273002   2.2197189930   0.9260515744  -0.3060099805   0.0824922687
   2.9339421453   2.2201594759   0.9260287533  -0.3061073471   0.0825012319
   2.9338569890   2.2205997168   0.9260059099  -0.3062047083   0.0825102389
   2.9337718310   2.2210397273   0.9259830438  -0.3063020642   0.0825192895
   2.9336866714   2.2214795071   0.9259601551  -0.3063994148   0.0825283838
   2.9336015102   2.2219190562   0.9259372439  -0.3064967601   0.0825375216
   2.9335163474   2.2223583746   0.9259143101  -0.3065941001   0.0825467029
   2.9334311829   2.2227974624   0.9258913538  -0.3066914348   0.0825559275
